Order_ID,Order_Date,Customer_ID,Customer_Age,Customer_Gender,Region,Country,Category,Product_Name,Price,Quantity,Discount,Revenue,Profit,Payment_Method,Month
O00030,2023-08-17,C0049,60,Male,West,India,Clothing,T-Shirt,967.22,3.0,0.11,2582.48,587.13,PayPal,2023-08
O00031,2023-01-29,C0237,34,Male,East,USA,Electronics,Headphones,352.23,3.0,0.13,919.32,318.14,Credit Card,2023-01
O00032,2024-01-30,C1843,54,Male,East,USA,Office Supplies,Notebook,524.72,5.0,0.21,2072.64,694.47,Debit Card,2024-01
O00033,2024-01-08,C0884,22,Female,East,Australia,Electronics,Tablet,512.05,4.0,0.1,1843.38,505.64,Debit Card,2024-01
O00034,2023-07-16,C0862,60,Female,South,Canada,Clothing,Shoes,552.46,1.0,0.09,502.74,76.69,PayPal,2023-07
O00035,2024-04-21,C0905,46,Male,West,Australia,Furniture,Desk,290.95,5.0,0.1,1309.28,398.81,Debit Card,2024-04
O00036,2023-11-14,C0461,30,Male,North,USA,Furniture,Cabinet,615.16,1.0,0.14,529.04,170.1,Debit Card,2023-11
O00037,2024-01-29,C1013,43,Male,South,Australia,Electronics,Laptop,780.64,2.0,0.05,1483.22,503.54,Cash,2024-01
O00038,2023-02-21,C1142,33,Male,West,UK,Office Supplies,Printer Paper,950.54,4.0,0.18,3117.77,872.41,Cash,2023-02
O00039,2024-04-01,C1838,28,Female,West,India,Furniture,Sofa,768.16,5.0,0.15,3264.68,521.73,Cash,2024-04
O00040,2023-03-21,C1462,36,Male,East,India,Clothing,T-Shirt,146.99,2.0,0.11,261.64,36.16,Debit Card,2023-03
O00041,2023-03-07,C0850,44,Female,West,Germany,Electronics,Smartphone,834.56,4.0,0.27,2436.92,599.53,Credit Card,2023-03
O00042,2024-01-25,C0977,18,Female,East,Germany,Office Supplies,Pen Set,493.35,3.0,0.13,1287.64,138.11,PayPal,2024-01
O00043,2024-02-19,C1484,28,Female,South,Canada,Electronics,Headphones,595.97,1.0,0.03,578.09,119.75,Cash,2024-02
O00044,2023-07-06,C0103,34,Female,East,UK,Office Supplies,Printer Paper,344.13,4.0,0.08,1266.4,427.79,Cash,2023-07
O00045,2023-09-16,C1710,23,Female,North,Australia,Electronics,Tablet,231.98,1.0,0.23,178.62,46.97,Credit Card,2023-09
O00046,2023-09-11,C0409,19,Male,South,UK,Office Supplies,Notebook,568.33,2.0,0.14,977.53,160.37,PayPal,2023-09
O00047,2023-06-21,C1241,56,Male,South,India,Electronics,Laptop,929.6,5.0,0.2,3718.4,1262.56,Cash,2023-06
O00048,2023-07-23,C0156,55,Male,North,Australia,Clothing,T-Shirt,798.26,5.0,0.23,3073.3,574.1,Cash,2023-07
O00049,2024-01-15,C0142,50,Female,North,Germany,Office Supplies,Notebook,439.19,3.0,0.19,1067.23,327.83,Debit Card,2024-01
O00050,2024-03-21,C0361,64,Female,West,Germany,Office Supplies,Printer Paper,329.08,2.0,0.25,493.62,60.06,Cash,2024-03
O00051,2023-09-07,C1537,47,Female,East,USA,Office Supplies,Printer Paper,190.02,2.0,0.11,338.24,55.67,PayPal,2023-09
O00052,2023-10-10,C1139,18,Male,North,UK,Office Supplies,Stapler,559.62,2.0,0.21,884.2,231.2,Cash,2023-10
O00053,2024-04-03,C1624,19,Male,East,UK,Office Supplies,Pen Set,313.14,5.0,0.11,1393.47,332.16,PayPal,2024-04
O00054,2024-03-11,C1528,53,Female,East,Australia,Office Supplies,Printer Paper,313.56,2.0,0.04,602.04,89.19,Credit Card,2024-03
O00055,2023-07-09,C0393,31,Female,East,Australia,Clothing,T-Shirt,834.3,3.0,0.07,2327.7,337.19,Credit Card,2023-07
O00056,2023-05-10,C0562,20,Male,East,Australia,Furniture,Cabinet,111.56,1.0,0.17,92.59,20.12,Cash,2023-05
O00057,2023-12-15,C0378,21,Female,West,USA,Electronics,Headphones,496.83,5.0,0.19,2012.16,228.18,Debit Card,2023-12
O00058,2023-11-08,C0175,33,Male,West,Canada,Furniture,Cabinet,456.01,4.0,0.09,1659.88,410.21,Cash,2023-11
O00059,2023-11-09,C1165,57,Male,North,UK,Furniture,Sofa,663.82,2.0,0.07,1234.71,293.86,Debit Card,2023-11
O00060,2023-01-03,C0837,46,Female,East,USA,Furniture,Sofa,709.89,4.0,0.02,2782.77,440.67,PayPal,2023-01
O00061,2023-07-22,C0871,25,Male,South,India,Furniture,Desk,69.04,3.0,0.18,169.84,51.98,PayPal,2023-07
O00062,2024-03-25,C0255,47,Female,West,India,Office Supplies,Stapler,89.64,1.0,0.27,65.44,18.56,PayPal,2024-03
O00063,2023-01-27,C0188,32,Male,East,Canada,Electronics,Smartphone,475.8,4.0,0.27,1389.34,201.97,Cash,2023-01
O00064,2024-05-18,C1985,23,Female,East,Germany,Clothing,Jacket,673.43,2.0,0.1,1212.17,331.43,PayPal,2024-05
O00065,2024-02-15,C1667,53,Male,West,USA,Clothing,Jacket,330.04,4.0,0.26,976.92,299.16,Credit Card,2024-02
O00066,2024-04-18,C0847,21,Male,East,Canada,Office Supplies,Stapler,762.39,2.0,0.08,1402.8,186.23,PayPal,2024-04
O00067,2024-03-24,C1804,62,Female,North,USA,Furniture,Chair,317.64,1.0,0.17,263.64,32.51,Credit Card,2024-03
O00068,2024-04-17,C1940,25,Male,West,Australia,Clothing,Jacket,421.34,4.0,0.29,1196.61,192.57,Debit Card,2024-04
O00069,2024-01-28,C0391,56,Male,North,India,Office Supplies,Printer Paper,934.91,5.0,0.08,4300.59,432.82,PayPal,2024-01
O00070,2024-05-16,C1773,27,Female,West,India,Clothing,Shoes,460.79,3.0,0.26,1022.95,353.12,Debit Card,2024-05
O00071,2024-01-28,C0479,44,Male,East,Australia,Office Supplies,Stapler,392.22,2.0,0.15,666.77,72.85,PayPal,2024-01
O00072,2023-04-13,C1791,46,Male,West,USA,Furniture,Cabinet,872.22,2.0,0.02,1709.55,504.97,PayPal,2023-04
O00073,2023-12-13,C1277,62,Female,North,India,Office Supplies,Printer Paper,630.53,4.0,0.26,1866.37,203.39,Credit Card,2023-12
O00074,2023-08-29,C1293,61,Female,South,Australia,Electronics,Headphones,978.55,1.0,0.13,851.34,232.84,Credit Card,2023-08
O00075,2023-02-17,C0665,21,Female,East,India,Office Supplies,Pen Set,251.76,4.0,0.17,835.84,249.19,Debit Card,2023-02
O00076,2023-06-29,C0162,57,Female,South,Germany,Furniture,Chair,466.54,3.0,0.14,1203.67,321.03,Cash,2023-06
O00077,2023-10-22,C1388,52,Male,North,Germany,Clothing,Jacket,642.55,4.0,0.21,2030.46,434.94,PayPal,2023-10
O00078,2023-07-23,C0788,48,Male,South,Germany,Clothing,Jacket,992.77,3.0,0.01,2948.53,906.7,Cash,2023-07
O00079,2023-10-09,C0017,54,Male,West,India,Furniture,Sofa,226.81,2.0,0.19,367.43,99.0,Debit Card,2023-10
O00080,2023-04-10,C1851,58,Male,East,Germany,Electronics,Tablet,735.04,1.0,0.27,536.58,97.49,Cash,2023-04
O00081,2023-06-29,C0412,26,Female,East,UK,Clothing,Shoes,967.71,3.0,0.22,2264.44,418.19,Credit Card,2023-06
O00082,2024-04-24,C1973,22,Male,South,Australia,Office Supplies,Printer Paper,99.4,4.0,0.0,397.6,93.1,Cash,2024-04
O00083,2024-01-13,C1378,65,Female,West,Australia,Clothing,T-Shirt,678.09,4.0,0.01,2685.24,862.12,PayPal,2024-01
O00084,2023-08-15,C1327,22,Female,East,Australia,Office Supplies,Notebook,148.38,1.0,0.09,135.03,30.13,Credit Card,2023-08
O00085,2023-08-29,C1818,52,Male,West,Germany,Clothing,Shoes,591.47,2.0,0.27,863.55,227.74,Cash,2023-08
O00086,2024-02-22,C1924,35,Male,East,UK,Office Supplies,Stapler,951.05,3.0,0.03,2767.56,751.17,PayPal,2024-02
O00087,2023-03-04,C0816,35,Male,North,Germany,Electronics,Smartphone,645.29,5.0,0.29,2290.78,258.04,PayPal,2023-03
O00088,2023-09-07,C0258,54,Male,North,Canada,Furniture,Chair,814.92,2.0,0.1,1466.86,200.8,Credit Card,2023-09
O00089,2023-10-11,C1759,27,Male,East,UK,Electronics,Laptop,140.49,3.0,0.24,320.32,51.09,PayPal,2023-10
O00090,2023-01-17,C0357,34,Male,South,Australia,Office Supplies,Notebook,748.21,4.0,0.13,2603.77,496.04,Credit Card,2023-01
O00091,2024-04-07,C1032,32,Male,East,Germany,Electronics,Laptop,998.6,4.0,0.13,3475.13,441.31,Cash,2024-04
O00092,2023-03-17,C1842,23,Female,South,USA,Furniture,Sofa,628.07,5.0,0.16,2637.89,478.24,PayPal,2023-03
O00093,2024-04-09,C1036,56,Female,North,Australia,Electronics,Smartphone,435.77,2.0,0.12,766.96,235.35,Cash,2024-04
O00094,2024-03-01,C1495,24,Female,West,India,Clothing,Jacket,954.06,4.0,0.02,3739.92,1151.68,Credit Card,2024-03
O00095,2024-03-18,C0198,65,Female,South,Canada,Electronics,Tablet,673.31,4.0,0.11,2396.98,638.4,Cash,2024-03
O00096,2023-02-22,C1984,36,Female,East,USA,Furniture,Chair,660.17,2.0,0.25,990.25,185.7,PayPal,2023-02
O00097,2023-04-28,C1562,35,Male,West,Canada,Electronics,Tablet,38.66,3.0,0.21,91.62,16.24,PayPal,2023-04
O00098,2023-12-26,C0013,29,Male,West,USA,Furniture,Desk,100.84,5.0,0.06,473.95,97.14,PayPal,2023-12
O00099,2023-06-11,C0758,37,Female,North,USA,Furniture,Chair,756.89,1.0,0.2,605.51,101.74,Cash,2023-06
O00100,2024-05-12,C1244,46,Female,East,UK,Electronics,Tablet,435.61,3.0,0.2,1045.46,259.57,PayPal,2024-05
O00101,2023-02-16,C0452,43,Male,North,UK,Clothing,Jeans,769.68,3.0,0.09,2101.23,273.15,Cash,2023-02
O00102,2024-03-16,C0360,26,Female,South,Canada,Clothing,T-Shirt,403.1,1.0,0.13,350.7,75.38,Credit Card,2024-03
O00103,2023-11-17,C1180,45,Female,West,India,Electronics,Headphones,30.65,3.0,0.05,87.35,29.43,Cash,2023-11
O00104,2024-01-06,C0181,45,Male,South,Germany,Office Supplies,Notebook,401.81,3.0,0.22,940.24,146.11,Debit Card,2024-01
O00105,2023-03-20,C1046,58,Male,South,India,Clothing,Jeans,243.91,2.0,0.08,448.79,64.35,Debit Card,2023-03
O00106,2023-03-19,C0363,58,Female,West,Canada,Office Supplies,Printer Paper,865.6,3.0,0.05,2466.96,288.81,Cash,2023-03
O00107,2023-11-07,C1631,35,Male,East,Canada,Electronics,Tablet,467.13,1.0,0.02,457.79,140.96,Credit Card,2023-11
O00108,2023-04-03,C1260,56,Female,West,Canada,Electronics,Headphones,909.96,5.0,0.2,3639.84,656.56,Cash,2023-04
O00109,2024-05-28,C0309,21,Female,North,India,Electronics,Smartphone,48.75,4.0,0.3,136.5,31.53,Debit Card,2024-05
O00110,2024-01-08,C0764,36,Female,West,India,Electronics,Tablet,75.25,1.0,0.17,62.46,12.28,PayPal,2024-01
O00111,2023-06-03,C0683,23,Male,East,India,Office Supplies,Pen Set,599.09,1.0,0.09,545.17,105.86,PayPal,2023-06
O00112,2023-05-11,C1373,62,Male,West,Canada,Clothing,T-Shirt,368.97,2.0,0.29,523.94,97.16,Cash,2023-05
O00113,2023-07-16,C0464,26,Male,North,India,Electronics,Laptop,665.31,5.0,0.04,3193.49,620.11,Debit Card,2023-07
O00114,2023-07-05,C1703,62,Male,West,USA,Office Supplies,Printer Paper,679.6,2.0,0.29,965.03,243.81,Cash,2023-07
O00115,2023-08-28,C1094,33,Female,West,UK,Clothing,Shoes,467.06,3.0,0.23,1078.91,243.54,Cash,2023-08
O00116,2023-06-15,C1673,30,Male,East,USA,Office Supplies,Printer Paper,559.0,1.0,0.21,441.61,101.12,Credit Card,2023-06
O00117,2023-10-19,C0172,28,Female,West,Canada,Furniture,Cabinet,100.8,2.0,0.25,151.2,48.56,Credit Card,2023-10
O00118,2024-02-29,C0110,43,Female,South,Germany,Electronics,Tablet,232.29,3.0,0.28,501.75,155.44,PayPal,2024-02
O00119,2023-05-30,C0282,20,Female,West,Australia,Furniture,Cabinet,454.12,1.0,0.27,331.51,34.73,Debit Card,2023-05
O00120,2023-06-03,C1124,64,Female,North,India,Furniture,Sofa,130.63,2.0,0.13,227.3,67.84,Cash,2023-06
O00121,2023-03-06,C0228,49,Male,South,Australia,Furniture,Sofa,434.95,5.0,0.11,1935.53,469.69,Debit Card,2023-03
O00122,2023-03-29,C1073,41,Male,North,Germany,Office Supplies,Notebook,639.31,3.0,0.08,1764.5,183.61,Credit Card,2023-03
O00123,2023-12-20,C0494,64,Male,East,UK,Electronics,Tablet,550.55,2.0,0.25,825.82,223.94,Cash,2023-12
O00124,2023-07-06,C1662,26,Male,West,USA,Clothing,Jeans,53.37,2.0,0.27,77.92,13.94,PayPal,2023-07
O00125,2024-06-11,C0816,52,Female,East,USA,Furniture,Sofa,363.4,1.0,0.26,268.92,49.21,Credit Card,2024-06
O00126,2024-01-12,C0895,43,Female,West,India,Furniture,Cabinet,695.15,3.0,0.28,1501.52,345.08,Credit Card,2024-01
O00127,2024-03-10,C0162,45,Male,East,India,Electronics,Laptop,334.64,3.0,0.09,913.57,228.99,Cash,2024-03
O00128,2023-06-20,C1413,46,Female,West,USA,Clothing,Shoes,281.81,1.0,0.02,276.17,71.63,PayPal,2023-06
O00129,2024-06-09,C1641,65,Male,North,UK,Office Supplies,Notebook,134.97,2.0,0.23,207.85,39.82,Cash,2024-06
O00130,2023-02-03,C1240,27,Female,East,India,Office Supplies,Notebook,578.18,5.0,0.11,2572.9,459.51,PayPal,2023-02
O00131,2023-09-13,C1968,25,Male,South,Germany,Office Supplies,Notebook,269.16,3.0,0.21,637.91,98.01,PayPal,2023-09
O00132,2024-05-17,C0410,25,Male,North,Germany,Furniture,Cabinet,997.29,3.0,0.2,2393.5,663.92,PayPal,2024-05
O00133,2023-11-04,C1744,28,Male,East,Canada,Furniture,Desk,985.28,2.0,0.07,1832.62,409.6,PayPal,2023-11
O00134,2024-01-13,C0958,53,Male,North,USA,Clothing,Shoes,999.6,4.0,0.16,3358.66,981.71,Credit Card,2024-01
O00135,2023-05-09,C1992,38,Male,West,Germany,Clothing,Jeans,879.18,5.0,0.19,3560.68,518.05,Debit Card,2023-05
O00136,2024-03-19,C1030,21,Male,South,India,Furniture,Chair,329.43,2.0,0.1,592.97,198.78,PayPal,2024-03
O00137,2023-03-22,C0514,30,Female,South,Australia,Clothing,T-Shirt,507.55,2.0,0.18,832.38,204.07,Debit Card,2023-03
O00138,2023-12-12,C1726,54,Male,North,USA,Electronics,Tablet,654.62,5.0,0.12,2880.33,748.16,Cash,2023-12
O00139,2023-10-24,C1315,37,Female,South,Australia,Office Supplies,Printer Paper,459.01,1.0,0.05,436.06,88.92,Cash,2023-10
O00140,2023-07-28,C0697,56,Male,East,Australia,Clothing,Jacket,975.62,2.0,0.23,1502.45,343.68,Credit Card,2023-07
O00141,2023-11-23,C0496,47,Male,East,Germany,Furniture,Chair,105.84,3.0,0.28,228.61,72.25,Cash,2023-11
O00142,2023-09-12,C1972,28,Female,East,UK,Furniture,Cabinet,996.01,4.0,0.15,3386.43,599.86,Credit Card,2023-09
O00143,2023-04-03,C1936,43,Female,South,UK,Clothing,T-Shirt,60.04,4.0,0.18,196.93,61.19,Cash,2023-04
O00144,2023-10-20,C1100,18,Male,West,UK,Clothing,Jacket,766.22,3.0,0.01,2275.67,256.67,Debit Card,2023-10
O00145,2024-01-07,C1134,36,Male,West,Canada,Office Supplies,Printer Paper,827.06,5.0,0.2,3308.24,429.09,Credit Card,2024-01
O00146,2024-02-08,C0765,39,Female,South,UK,Office Supplies,Notebook,54.85,2.0,0.21,86.66,26.08,Cash,2024-02
O00147,2023-06-02,C1242,50,Male,East,Canada,Clothing,Jeans,399.03,5.0,0.22,1556.22,272.04,PayPal,2023-06
O00148,2024-06-03,C1697,50,Female,East,Germany,Electronics,Tablet,337.93,1.0,0.29,239.93,59.0,Credit Card,2024-06
O00149,2024-04-30,C0544,59,Male,North,Canada,Office Supplies,Pen Set,528.99,5.0,0.23,2036.61,397.24,Debit Card,2024-04
O00150,2023-02-02,C1173,62,Male,South,USA,Office Supplies,Printer Paper,424.59,4.0,0.21,1341.7,271.82,Cash,2023-02
O00151,2023-03-05,C1446,26,Male,East,Australia,Office Supplies,Stapler,320.62,2.0,0.14,551.47,128.65,PayPal,2023-03
O00152,2023-09-28,C1250,48,Male,South,India,Clothing,Jeans,942.07,3.0,0.23,2176.18,601.12,Cash,2023-09
O00153,2023-11-21,C0983,40,Female,East,USA,Office Supplies,Stapler,820.19,2.0,0.09,1492.75,256.62,Credit Card,2023-11
O00154,2023-12-21,C1893,46,Female,West,UK,Furniture,Sofa,933.69,3.0,0.04,2689.03,682.8,Debit Card,2023-12
O00155,2023-09-06,C0104,60,Male,South,USA,Electronics,Headphones,336.99,4.0,0.03,1307.52,382.7,Credit Card,2023-09
O00156,2023-06-11,C0834,59,Female,West,Australia,Furniture,Sofa,327.96,1.0,0.27,239.41,29.3,Debit Card,2023-06
O00157,2023-02-08,C1871,29,Female,South,USA,Office Supplies,Stapler,194.45,3.0,0.26,431.68,44.17,Credit Card,2023-02
O00158,2023-12-10,C0583,47,Female,South,Canada,Office Supplies,Printer Paper,200.88,1.0,0.1,180.79,51.12,PayPal,2023-12
O00159,2023-07-10,C0029,65,Female,East,Canada,Furniture,Chair,614.84,4.0,0.25,1844.52,422.06,Credit Card,2023-07
O00160,2024-02-15,C1371,24,Male,South,Germany,Clothing,Jeans,16.76,4.0,0.07,62.35,17.98,PayPal,2024-02
O00161,2023-11-06,C1193,64,Male,East,Australia,Clothing,Jeans,71.5,1.0,0.14,61.49,8.6,PayPal,2023-11
O00162,2023-05-01,C1309,36,Female,South,UK,Furniture,Cabinet,161.65,5.0,0.11,719.34,198.17,Cash,2023-05
O00163,2023-08-12,C1561,33,Male,West,Canada,Clothing,T-Shirt,918.07,1.0,0.02,899.71,213.15,Debit Card,2023-08
O00164,2023-06-03,C0337,38,Female,North,Australia,Furniture,Cabinet,100.03,5.0,0.13,435.13,49.57,Debit Card,2023-06
O00165,2024-06-09,C0851,47,Male,West,Australia,Clothing,T-Shirt,401.99,1.0,0.22,313.55,76.69,Credit Card,2024-06
O00166,2024-03-09,C0706,62,Male,North,USA,Office Supplies,Notebook,294.22,2.0,0.23,453.1,132.06,Cash,2024-03
O00167,2024-01-19,C1826,42,Female,West,Germany,Electronics,Smartphone,657.0,3.0,0.04,1892.16,658.87,Cash,2024-01
O00168,2023-05-11,C1491,32,Male,North,India,Office Supplies,Stapler,536.61,2.0,0.07,998.09,186.18,PayPal,2023-05
O00169,2023-07-13,C1920,64,Male,North,Australia,Office Supplies,Notebook,248.26,1.0,0.03,240.81,26.1,Credit Card,2023-07
O00170,2023-09-08,C1517,20,Female,West,UK,Furniture,Desk,148.73,3.0,0.07,414.96,136.56,PayPal,2023-09
O00171,2023-11-25,C0486,37,Male,South,Germany,Clothing,Jacket,70.35,5.0,0.26,260.3,85.35,Cash,2023-11
O00172,2024-05-22,C0097,40,Female,East,Australia,Office Supplies,Stapler,157.73,4.0,0.06,593.06,139.06,Debit Card,2024-05
O00173,2023-08-19,C0616,63,Male,West,USA,Office Supplies,Stapler,561.71,2.0,0.12,988.61,161.88,PayPal,2023-08
O00174,2023-03-22,C1889,46,Female,North,Canada,Furniture,Desk,275.78,5.0,0.18,1130.7,360.02,Debit Card,2023-03
O00175,2023-08-11,C0982,31,Female,East,USA,Furniture,Chair,962.46,1.0,0.22,750.72,216.64,Debit Card,2023-08
O00176,2023-07-29,C0813,33,Female,East,Germany,Office Supplies,Printer Paper,315.34,3.0,0.15,804.12,180.38,Credit Card,2023-07
O00177,2024-04-25,C1560,38,Male,East,India,Office Supplies,Notebook,566.9,2.0,0.22,884.36,92.02,Cash,2024-04
O00178,2023-10-30,C0313,30,Female,South,Germany,Furniture,Cabinet,555.14,3.0,0.08,1532.19,467.93,Cash,2023-10
O00179,2024-04-16,C0345,64,Female,South,UK,Office Supplies,Pen Set,917.73,5.0,0.3,3212.05,1089.88,Credit Card,2024-04
O00180,2023-03-18,C1936,60,Male,North,Germany,Furniture,Chair,77.29,2.0,0.0,154.58,35.0,PayPal,2023-03
O00181,2023-03-03,C1266,58,Female,West,USA,Electronics,Headphones,21.73,5.0,0.22,84.75,19.83,PayPal,2023-03
O00182,2023-01-18,C1029,62,Female,South,USA,Electronics,Smartphone,248.56,5.0,0.16,1043.95,317.16,PayPal,2023-01
O00183,2024-02-11,C0162,41,Female,West,Canada,Furniture,Chair,306.97,1.0,0.2,245.58,77.25,Credit Card,2024-02
O00184,2023-04-06,C0831,42,Female,West,USA,Electronics,Smartphone,91.86,4.0,0.19,297.63,54.41,Credit Card,2023-04
O00185,2024-06-24,C1883,20,Male,South,Australia,Office Supplies,Printer Paper,56.1,1.0,0.21,44.32,7.54,Credit Card,2024-06
O00186,2023-07-03,C1903,38,Male,South,Canada,Furniture,Cabinet,929.59,3.0,0.05,2649.33,424.21,Cash,2023-07
O00187,2023-12-06,C0787,65,Male,North,Canada,Clothing,T-Shirt,106.71,2.0,0.25,160.06,29.63,Cash,2023-12
O00188,2023-12-01,C0061,58,Female,West,Germany,Furniture,Sofa,557.51,4.0,0.13,1940.13,523.69,Cash,2023-12
O00189,2023-03-29,C1582,57,Female,South,Australia,Electronics,Laptop,275.29,4.0,0.21,869.92,224.85,Cash,2023-03
O00190,2023-11-21,C0739,24,Male,North,India,Office Supplies,Printer Paper,763.73,1.0,0.04,733.18,107.67,Cash,2023-11
O00191,2024-06-08,C0836,24,Male,North,India,Electronics,Tablet,865.08,1.0,0.09,787.22,155.04,Credit Card,2024-06
O00192,2023-09-06,C1172,51,Male,West,UK,Furniture,Sofa,308.12,4.0,0.04,1183.18,167.78,PayPal,2023-09
O00193,2024-03-07,C0614,48,Male,East,India,Furniture,Cabinet,597.87,2.0,0.14,1028.34,137.67,Credit Card,2024-03
O00194,2024-02-10,C0681,57,Female,East,Germany,Clothing,Shoes,817.32,5.0,0.04,3923.14,706.82,Debit Card,2024-02
O00195,2024-05-05,C0644,29,Female,East,India,Office Supplies,Pen Set,332.63,3.0,0.24,758.4,150.34,Credit Card,2024-05
O00196,2023-07-24,C1213,52,Male,North,Australia,Office Supplies,Pen Set,444.07,3.0,0.25,999.16,117.19,Cash,2023-07
O00197,2024-05-26,C0286,58,Female,South,India,Furniture,Cabinet,791.19,1.0,0.13,688.34,171.73,Cash,2024-05
O00198,2024-06-02,C1892,62,Female,North,India,Electronics,Laptop,771.26,3.0,0.05,2198.09,556.49,Cash,2024-06
O00199,2023-12-06,C1978,45,Male,North,USA,Clothing,Jeans,515.57,5.0,0.17,2139.62,581.8,Debit Card,2023-12
O00200,2024-04-01,C0767,43,Female,South,India,Electronics,Headphones,113.5,4.0,0.28,326.88,39.7,Debit Card,2024-04
O00201,2023-12-23,C0639,39,Female,South,Canada,Office Supplies,Printer Paper,481.4,4.0,0.22,1501.97,320.09,Credit Card,2023-12
O00202,2023-11-04,C0092,63,Male,North,India,Electronics,Smartphone,930.62,2.0,0.15,1582.05,376.49,PayPal,2023-11
O00203,2024-03-12,C1963,47,Male,West,Australia,Furniture,Chair,644.07,4.0,0.12,2267.13,644.65,Debit Card,2024-03
O00204,2024-04-05,C1213,45,Female,North,Australia,Furniture,Chair,285.56,1.0,0.17,237.01,71.07,Debit Card,2024-04
O00205,2024-01-10,C0668,30,Female,North,India,Office Supplies,Printer Paper,601.0,5.0,0.12,2644.4,339.96,PayPal,2024-01
O00206,2024-04-13,C1265,29,Female,North,Australia,Furniture,Sofa,126.68,3.0,0.04,364.84,70.53,Debit Card,2024-04
